Motoyuki Akahori	1995	25	Kintetsu	JPPL	Fgn	28	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1996	26	Kintetsu	JPPL	Fgn	44	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1997	27	Kintetsu	JPPL	Fgn	57	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1998	28	Kintetsu	JPPL	Fgn	24	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1999	29	Kintetsu	JPPL	Fgn	2	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	2000	30	Kintetsu	JPPL	Fgn	3	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	2001	31	Kintetsu	JPPL	Fgn	9	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	2002	32	Kintetsu	JPPL	Fgn	11	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	2003	33	Kintetsu	JPPL	Fgn	1	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	2004	34	Kintetsu	JPPL	Fgn	4	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Norihiro Akahoshi	2001	25	Hanshin	JPCL	Fgn	128	524	438	70	128	9	4	1	23	39	12	50	64	0.292	0.372	0.338	0.71	148	1	8	24	4	1
Norihiro Akahoshi	2002	26	Hanshin	JPCL	Fgn	78	343	310	36	78	7	4	0	12	26	7	15	56	0.252	0.311	0.3	0.611	93	5	12	5	1	0
Norihiro Akahoshi	2003	27	Hanshin	JPCL	Fgn	140	635	551	90	172	17	7	1	35	61	10	45	76	0.312	0.378	0.374	0.752	206	15	14	24	1	0
Norihiro Akahoshi	2004	28	Hanshin	JPCL	Fgn	138	632	570	96	171	20	6	0	30	64	12	49	85	0.3	0.356	0.356	0.712	203	3	1	11	1	0
Norihiro Akahoshi	2005	29	Hanshin	JPCL	Fgn	145	689	601	119	190	15	9	1	38	60	12	69	90	0.316	0.392	0.376	0.768	226	3	8	8	3	1
